name,address,tags,rate,ID,representative_menu,place_price,menu_list,iamge_URL
노메야끼니꾸,서울 중구 동호로7길 14 약수역 더시티 2층,한식,5.0,1711081515,야끼니꾸 고기메뉴,14000,"{'노메 A코스': 55000, '노메 B코스': 88000, 'A Set 미국산 초이스 등급': 48000, 'B Set 와규 실속 모둠': 78000, 'C Set 와규 추천 모둠': 100000, '파테': 20000, '규 가츠': 24000, '한우 볼 육회': 25000, '함박스테이크': 20000, '포르치니 트러플 크림파스타': 26000, '육사시미와 우니 그리고 단새우': 55000}",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231117_63%2F1700201179519jzisu_JPEG%2F%25B8%25DE%25C0%25CE1.jpg
뚱뚱이할머니집,서울 중구 장충단로 174-1,한식,5.0,11723986,둘이먹어,38000,"{'삼대메뉴': 60000, '족발 대': 50000, '족발 중': 40000, '족발 소': 30000, '파전': 13000, '쟁반국수 (대)': 15000, '빈대떡': 8000, '설렁탕': 9000, '혼자먹어': 19000, '쟁반막국수(소)': 10000}",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200803_294%2F1596425622128JTPdA_PNG%2FPS2no5e5JMGt5UD9shaxeaLf.png
신당동 주식,서울 중구 청구로17길 104,한식,5.0,1928909716,누룽지전가복,58000,"{'잠봉계란사라다': 18000, '소고기 땡초전': 23000, '장어튀김': 38000, '아귀간크림 관자구이': 29000, '어향오겹살': 23000, '닭목살구이': 28000, '시그니처보쌈': 35000, '명란순두부': 22000, '고오급 어묵탕': 22000, '서양식감자전': 22000, '낙지감태주먹밥': 15000, '게새튀김': 24000, '오겹살김치전': 22000, '고오급비빔만두': 21000}",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221221_69%2F1671632671151eidiC_JPEG%2F631C812A-63B0-4923-ACAD-F50E0EC2C8F9.jpeg
막내회집 본점,서울 중구 남대문시장2가길 2 2층,한식,5.0,1495790737,광어&우럭 대,70000,"{'광어회(大)': 65000, '광어회(中)': 45000, '모듬회(大)': 55000, '모듬회(中)': 35000, '해삼': 25000, '멍게': 20000, '낙지': 20000, '광어&우럭 중': 55000}",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201110_240%2F1604972243342VEHIB_JPEG%2FQoP4e4LXT9y29r-SPKZdV2Y6.jpg
남촌회관,서울 중구 세종대로20길 19 1층 (유성빌딩),한식,5.0,1373343033,숙성 특 목살,17000,"{'숙성 특 뱃살': 18000, '월포 된장찌개': 8000, '남촌 특 등살': 18000, '남촌 국수전골 (Lunch)': 13000, '남촌 매콤갈비찜 (Lunch)': 14000, '멜팅치즈볶음밥 (1.5인분)': 10000, '감태말이': 4500, '열무냉국수': 9000}",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221005_57%2F1664938938940wUeCl_PNG%2F%25BD%25BA%25C5%25A9%25B8%25B0%25BC%25A6_2022-10-05_%25BF%25C0%25C0%25FC_11.48.17.png
진주회관,서울 중구 세종대로11길 26,한식,5.0,11679660,콩국수,15000,"{'섞어찌개': 10000, '김치볶음밥': 10000, '김치찌개': 10000, '삼겹살': 17000, '항정살': 18000, '등심': 30000, '차돌백이': 20000, '버섯생불고기': 16000}",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_287%2F1441017952681y0xed_JPEG%2F11679660_0.jpg
무교동북어국집,서울 중구 을지로1길 38,한식,5.0,11619941,북어해장국,9500,{},https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_296%2F1441006622233Y7lSD_JPEG%2F156155408163616_0.jpg
옥경이네건생선,서울 중구 퇴계로85길 7,한식,5.0,1960119730,반건조 구이.찜 갑오징어(소),39000,"{'반건조 구이.찜 갑오징어(중)': 59000, '반건조 구이.찜 갑오징어(대)': 95000, '반건조 구이.찜 민어(소)': 37000, '반건조 구이.찜 민어(중)': 45000, '반건조 구이.찜 민어(대)': 60000, '반건조 조림 민어(소)': 49000, '반건조 조림 서대(소)': 45000, '반건조 조림 병어(소)': 45000, '아귀탕(소)': 35000, '우럭 젓국(소)': 35000, '우럭 젓국(중)': 50000, '간재미탕(소)': 30000, '애호박 두부 젓국(소)': 25000, '반건조 찜 서대(중)': 45000}",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231121_110%2F1700540031029aovvO_JPEG%2Ftemp_file.jpg
광화문국밥,서울 중구 세종대로21길 53,한식,5.0,781105443,평양냉면,14000,"{'돼지국밥': 9500, '돼지수육': 25000, '저염명란오이무침': 12000, '피순대': 17000, '소왕갈비찜': 58000, '가자미식해': 12000, '한우스지찜': 35000, '대구목뽈살조림': 30000, '매콤양무침': 22000, '술국': 18000, '메밀온면': 10000}",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170330_63%2F14908550112942XD4l_JPEG%2F186280555351.jpg
말질로,서울 중구 퇴계로86길 15-29 1층,한식,5.0,1855161729,대방어,55000,"{'말질로 해산물 한 상': 45000, '무늬오징어 회': 35000, '청어회': 23000, '홍새우&우니': 39000, '홍새우 회단품': 26000, '우니한판': 42000}",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221128_51%2F1669596564583nGDCi_JPEG%2F58B40D73-AF89-4FDE-8A26-7D548A3E7771.jpeg
