name,address,tags,rate,ID,iamge_URL
메가웹스테이션 신공덕점,서울 마포구 마포대로14길 19-1,"중구, 게임/오락",5.0,11665024,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180711_124%2F1531263541278GxuUn_JPEG%2F-lIiTMtMJ3PlFTotCt9DF1dJ.jpg
리얼PC방,서울 용산구 녹사평대로 240 1층,"중구, 게임/오락",5.0,1918745941,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200810_119%2F15970562721827hIcC_JPEG%2Ff3_CtCs_RDvszopa-CNxB6yS.jpg
보이스코드 코인노래방,서울 성동구 행당로 75 동백상가 지하1층,"중구, 게임/오락",5.0,1266445980,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200114_41%2F1579004263898gNBdq_JPEG%2FGLFKQ6uKNavzwQANbnm6DHEe.jpg
이 스포츠 아레나,서울 동대문구 천호대로 10 지층,"중구, 게임/오락",5.0,1505217733,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231010_200%2F16969201000852NzbA_JPEG%2FKakaoTalk_20231010_154120069.jpg
롯데시네마 에비뉴엘,서울 중구 남대문로 73 AVENUEL,"중구, 영화",5.0,12317304,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180601_285%2F15278189727220i12u_JPEG%2FIRtWK0eh0St0LbyTILYswKRT.jpg
CGV 명동,서울 중구 명동길 14 Noon Square 8F (눈스퀘어 8층),"중구, 영화",5.0,12125217,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190909_31%2F1568029121469QDD5m_JPEG%2FNTQ2FVPVimOAvhpsv4omETX-.jpg
CGV 동대문,서울 중구 장충단로13길 20 현대시티아울렛 10층,"중구, 영화",5.0,1628447669,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190909_31%2F1568029121469QDD5m_JPEG%2FNTQ2FVPVimOAvhpsv4omETX-.jpg
메가박스 동대문,서울 중구 장충단로 247 굿모닝시티 쇼핑몰,"중구, 영화",5.0,12957764,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230921_133%2F1695276081291C0iwI_JPEG%2F%25B8%25DE%25B0%25A1%25B9%25DA%25BD%25BA-%25B7%25CE%25B0%25ED.jpg
CGV 명동역,서울 중구 퇴계로 123 하이해리엇,"중구, 영화",5.0,11730263,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190909_31%2F1568029121469QDD5m_JPEG%2FNTQ2FVPVimOAvhpsv4omETX-.jpg
대한극장,서울 중구 퇴계로 212 대한극장,"중구, 영화",5.0,11594544,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_280%2F1441001687134PXhUW_GIF%2F11594544_0.g
청춘극장,서울 중구 새문안로 22 문화일보홀,"중구, 영화",5.0,13529370,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_227%2F1441050683413DGfkf_JPEG%2FSUBMIT_1286502576232_13529370.jpg
명보아트시네마,서울 중구 마른내로 47 명보아트홀 6층,"중구, 영화",5.0,37634041,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160331_274%2F1459395182604gOa82_JPEG%2F176281526320042_0.jpeg
충무로영상센터 오재미동,서울 중구 퇴계로 214 충무로역사 지하1층,"중구, 영화",5.0,11544924,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190110_276%2F1547087215990aCHTt_JPEG%2F54cVAjksz5UpAsC2h1MOlcAt.jpg
커넥트픽쳐스,서울 중구 청계천로 40 한국관광공사 1310호,"중구, 영화",5.0,1881759285,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230428_207%2F16826871181037oC25_JPEG%2F%25C4%25BF%25B3%25D8%25C6%25AE%25C7%25C8%25C3%25C4%25BD%25BA-%25C8%25B8%25BB%25E7%25B7%25CE%25B0%25ED_jpg.jpg
판다미디어,서울 중구 퇴계로30길 10 3F,"중구, 영화",5.0,20006185,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210705_164%2F1625483152915U9Tbj_PNG%2FzDKzLLVwl5Nb1uItKxGj8nsl.png
세계일화국제불교영화제,서울 중구 퇴계로 212 충무로 대한극장,"중구, 영화",5.0,1238088980,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230725_36%2F1690264587863yW4es_JPEG%2F%25C6%25F7%25BD%25BA%25C5%25CD-%25B8%25B6%25B1%25D7%25B3%25DD-50x50.jpg
